transaction_date,total_canceled_ahead_days,total_bookings,total_booked_ahead_days,cancelation_rate,seven_day_rolling_avg
2019-02-26,1976,6133,144447,0.03603456709603783,0.042674164962184964
2019-02-27,-710,6528,121532,0.04136029411764706,0.04160775921062187
2019-02-28,3299,7133,135129,0.04808635917566242,0.041668055926336586
2019-03-01,607,7908,136939,0.03958017197774406,0.04123984179657406
2019-03-02,1548,8449,116168,0.03325837377204403,0.03963466724594221
2019-03-03,1057,7087,122513,0.02793847890503739,0.03787888550601845
2019-03-04,3635,7306,142155,0.03421845058855735,0.037229698241849615
2019-03-05,3368,7083,136998,0.0337427643653819,0.03677743249976401
2019-03-06,4451,7267,162442,0.04541076097426724,0.03794945673454268
2019-03-07,8963,7645,131126,0.04656638325703074,0.03860021787696564
2019-03-08,3031,9018,136636,0.03847859835883788,0.03739924777486257
2019-03-09,1433,9211,110680,0.03745521658886115,0.03713362835125221
2019-03-10,1433,7849,115221,0.03541852465282202,0.03740364721134946
2019-03-11,4108,8677,145747,0.03929929699204794,0.03882374947222578
2019-03-12,5342,8293,128169,0.0479922826480164,0.040545478479658156
2019-03-13,7209,8159,130671,0.055521509988969237,0.04326782168260657
2019-03-14,3962,8500,121976,0.05941176470588235,0.04501794714905846
2019-03-15,3460,9639,145659,0.05425874053325034,0.04597949180858592
2019-03-16,2301,9456,108415,0.03574450084602369,0.04563772961948414
2019-03-17,1048,8029,113220,0.025034250840702453,0.0440851089009643
2019-03-18,3359,8736,149870,0.037316849816849816,0.04432239954646778
2019-03-19,3210,8024,137927,0.04573778664007976,0.04512721075247176
2019-03-20,9534,8852,137506,0.04292815183009489,0.04449419440023157
2019-03-21,3646,9018,119274,0.036926147704590816,0.04216977411468426
2019-03-22,3174,11163,142002,0.03654931470034937,0.039311967863992645
2019-03-23,3136,10136,95995,0.035023677979479084,0.036907585044771235
2019-03-24,1175,8474,103562,0.03587443946188341,0.036923827371753704
2019-03-25,12367,9371,147100,0.04193789350122719,0.03903678270431929
2019-03-26,3589,9423,223148,0.0368247904064523,0.038975275278019604
2019-03-27,11369,8717,144792,0.05196741998393943,0.03975397944600206
2019-03-28,3494,8870,139846,0.04870349492671928,0.04047589733308011
2019-03-29,3311,9349,123781,0.04299925125681891,0.041235035277108624
2019-03-30,1585,9022,97523,0.03513633340722678,0.0410584126154683
2019-03-31,1431,7605,116580,0.03274161735700197,0.04077315503765866
2019-04-01,3238,8146,143580,0.03842376626565185,0.04109182088812972
2019-04-02,3908,8363,151022,0.032643788114313045,0.039930057714765446
2019-04-03,5058,8409,142097,0.044713996908074684,0.040916208527468245
2019-04-04,2743,8122,143847,0.04998768776163506,0.0406687419996802
2019-04-05,2892,8931,130913,0.0457955436121375,0.04030524808535747
2019-04-06,1245,9066,108042,0.0314361350099272,0.038859858554496016
2019-04-07,1061,7327,109593,0.03821482189163369,0.03924466961504688
2019-04-08,4068,7614,154614,0.04859469398476491,0.04122630419351724
2019-04-09,2494,7463,170436,0.0458260753048372,0.042151592823415414
2019-04-10,5086,8766,159988,0.04277891854893908,0.04341848412774366
2019-04-11,3563,9044,221737,0.034055727554179564,0.04208620045850678
2019-04-12,8469,9128,150530,0.051928133216476775,0.04232875614036199
2019-04-13,2385,9469,131913,0.04467208786566691,0.04218832417205317
2019-04-14,1649,7628,141202,0.05099632931305716,0.04463334845994441
2019-04-15,3790,8929,128045,0.04726173143689103,0.04576421215310158
2019-04-16,2064,9249,145355,0.044653476051465024,0.045271559911439094
2019-04-17,2489,9082,116298,0.04382294648755781,0.04502116880927917
2019-04-18,3002,9133,115427,0.05146173218000657,0.04610652051316261
2019-04-19,1573,9186,111180,0.058676246462007406,0.04918408537664109
2019-04-20,723,9386,145930,0.05231195397400384,0.049232062971331966
2019-04-21,73,6320,84257,0.03322784810126582,0.04780153300078183
2019-04-22,5284,8368,126190,0.036448374760994266,0.04598303868177397
2019-04-23,3831,8765,173159,0.03730747290359384,0.04473875636511182
2019-04-24,3351,8645,132406,0.03366107576633892,0.04336470632947106
2019-04-25,1919,8229,112919,0.03973751367116296,0.0428540272274217
2019-04-26,3812,8896,108277,0.044964028776978415,0.042041814302043186
2019-04-27,1892,9546,108072,0.03153153153153153,0.0386487249357337
2019-04-28,1603,7683,91183,0.031107640244696082,0.03599818571957023
2019-04-29,4151,7478,127134,0.0425247392350896,0.0371602971112982
2019-04-30,4118,7297,125548,0.05317253665890092,0.03925081734853653
2019-05-01,2814,7616,132818,0.04254201680672269,0.03990513533642764
2019-05-02,4902,8125,127310,0.04713846153846154,0.04158980855794297
2019-05-03,3221,9021,119791,0.03846580201751469,0.04143084460123694
2019-05-04,2086,9561,91635,0.03200502039535613,0.03981096855353415
2019-05-05,1286,7339,104506,0.035835944951628285,0.040349020231046244
2019-05-06,3414,8135,126889,0.03687768899815612,0.04107027632522875
2019-05-07,3514,8114,137644,0.035001232437761896,0.040129837975562785
2019-05-08,4415,8192,129912,0.03955078125,0.03842711854945017
2019-05-09,3524,8392,120031,0.04492373689227836,0.038724833560144625
2019-05-10,5307,9684,118244,0.04037587773647253,0.037879510584896005
2019-05-11,994,9900,83629,0.041313131313131315,0.03823542674684808
2019-05-12,671,7219,96222,0.03740130211940712,0.03890996196235445
2019-05-13,3357,7907,121570,0.044517516124952576,0.03999515835901999
2019-05-14,3691,8172,130044,0.04270680372001958,0.040723797699252925
2019-05-15,4233,8603,127600,0.04579797744972684,0.04207339082574854
2019-05-16,4514,8835,143367,0.05070741369552915,0.04346796988143969
2019-05-17,2207,9769,111377,0.04370969392977787,0.043316214511127125
2019-05-18,2073,10266,91406,0.03370348723943113,0.042482165698996946
2019-05-19,729,8240,92804,0.04429611650485437,0.04285503884796233
2019-05-20,3621,8893,134448,0.04452940515011807,0.0437460517268012
2019-05-21,3554,9103,135574,0.03998681753268153,0.04317971440276732
2019-05-22,2327,9352,129789,0.04458939264328486,0.04341503801817548
2019-05-23,3508,9698,117848,0.055166013611053825,0.04458604253834135
2019-05-24,2445,11231,100472,0.045499065087703676,0.043934998962363164
2019-05-25,3708,12682,77721,0.038952846554171264,0.043340393040412345
2019-05-26,1154,11147,95859,0.04763613528303579,0.04508197404586292
2019-05-27,1651,10218,108162,0.043256997455470736,0.04495208416468997
2019-05-28,3133,9481,133098,0.04145132370003164,0.04456732398342916
2019-05-29,4175,10256,144126,0.03841653666146646,0.044371038874527285
2019-05-30,3174,10310,121249,0.038215324927255094,0.043574280410023564
